Ερώτηση;Επιλογή 1;Επιλογή 2;Επιλογή 3;Επιλογή 4;Σωστή Απάντηση;Fact
Το παιδί σας κάνει κρίση θυμού σε δημόσιο χώρο. Ποια είναι η καλύτερη αντίδραση;Παραμένετε ήρεμοι και το απομακρύνετε σε ήσυχο χώρο;Περιμένετε να ηρεμήσει και μετά μιλάτε;Του λέτε ότι όλοι το κοιτάζουν;Προσπαθείτε να του εξηγήσετε λογικά την κατάσταση;0;Η ηρεμία και η απομάκρυνση από τα ερεθίσματα βοηθούν το παιδί να ηρεμήσει. Στη μέση της κρίσης το λογικό μέρος του εγκεφάλου δεν λειτουργεί.
Πόσο σημαντική είναι η καθημερινή ρουτίνα για ένα νήπιο;Σημαντική για την πειθαρχία;Σημαντική αλλά με ευελιξία;Απαραίτητη για τον ύπνο και τα γεύματα;Πολύ σημαντική για ασφάλεια και πρόβλεψη;3;Η προβλέψιμη ρουτίνα μειώνει το άγχος προάγει την ανεξαρτησία και βοηθά τα παιδιά να αναπτύξουν αίσθημα ελέγχου και ασφάλειας.
Το παιδί σας δεν θέλει να μοιραστεί το αγαπημένο του παιχνίδι. Τι κάνετε;Του εξηγείτε ότι πρέπει να μοιράζεται;Του λέτε ότι έτσι δεν θα έχει φίλους;Σεβαστείτε το δικαίωμά του να έχει κάτι μόνο δικό του;Του προτείνετε να μοιράσει άλλα παιχνίδια;2;Τα παιδιά έχουν δικαίωμα σε προσωπικά αντικείμενα. Η αναγκαστική ανταλλαγή δεν διδάσκει γενναιοδωρία αλλά δημιουργεί αίσθημα αδικίας.
Πώς ενθαρρύνετε την ανεξαρτησία στο νήπιο;Του δίνετε δύο επιλογές που και οι δύο σας βολεύουν;Το αφήνετε να κάνει τα πάντα μόνο του;Του δίνετε απλές δουλειές που μπορεί να κάνει;Το ενθαρρύνετε όταν το προσπαθεί;0;Οι περιορισμένες επιλογές δίνουν αίσθηση ελέγχου χωρίς να συντρίβουν το παιδί. Έτσι νιώθει ότι αποφασίζει ενώ εσείς διατηρείτε όρια.
Το παιδί σας ζηλεύει το νεότερο αδερφάκι. Τι κάνετε;Του εξηγείτε ότι το μωρό χρειάζεται περισσότερη προσοχή;Το εμπλέκετε στη φροντίδα του μωρού;Αφιερώνετε ατομικό χρόνο μαζί του κάθε μέρα;Του λέτε ότι κι εσείς ήσασταν μωρό κάποτε;2;Ο ατομικός χρόνος είναι το πιο σημαντικό. Δείχνει στο παιδί ότι παραμένει ξεχωριστό και αγαπημένο παρά την παρουσία του μωρού.
Πόσο σημαντικό είναι να τρώει η οικογένεια μαζί;Σημαντικό κυρίως τα Σαββατοκύριακα;Πολύ σημαντικό τουλάχιστον ένα γεύμα την ημέρα;Σημαντικό όταν είναι όλοι διαθέσιμοι;Σημαντικό αλλά όχι απαραίτητο κάθε μέρα;1;Ακόμα και ένα οικογενειακό γεύμα την ημέρα ενισχύει δραματικά τους δεσμούς τη γλωσσική ανάπτυξη και τις υγιείς διατροφικές συνήθειες.
Το νήπιό σας φοβάται τα σκυλιά. Πώς το βοηθάτε;Αποφεύγετε τα σκυλιά μέχρι να ξεπεράσει το φόβο;Του δείχνετε ότι εσείς δεν φοβάστε;Το πλησιάζετε σταδιακά σε ήρεμα σκυλιά με την παρουσία σας;Του λέτε ότι δεν υπάρχει λόγος να φοβάται;2;Η σταδιακή έκθεση με υποστήριξη είναι η πιο αποτελεσματική μέθοδος. Το παιδί χρειάζεται να νιώθει ασφαλές ενώ μαθαίνει ότι τα σκυλιά δεν είναι απειλή.
Πώς διδάσκετε στο παιδί να διαχειρίζεται το θυμό του;Του προτείνετε να χτυπήσει ένα μαξιλάρι;Το διαχωρίζετε μέχρι να ηρεμήσει;Του λέτε να κάνει βαθιές αναπνοές;Του διδάσκετε να αναγνωρίζει και να ονομάζει το συναίσθημα;3;Η αναγνώριση και ονοματοποίηση είναι το πρώτο βήμα. Όταν τα παιδιά μπορούν να πουν είμαι θυμωμένος μπορούν να αρχίσουν να ελέγχουν το συναίσθημα.
Το παιδί σας είναι υπερκινητικό και δυσκολεύεται να συγκεντρωθεί. Τι κάνετε;Του δίνετε πιο κοντές εργασίες;Του παρέχετε πολλές ευκαιρίες για κίνηση;Μειώνετε τη ζάχαρη στη διατροφή του;Συμβουλεύεστε ειδικό για αξιολόγηση;1;Τα υπερκινητικά παιδιά έχουν φυσική ανάγκη για κίνηση. Η σωματική δραστηριότητα βελτιώνει τη συγκέντρωση καλύτερα από οποιονδήποτε περιορισμό.
Πώς προετοιμάζετε το νήπιο για το νηπιαγωγείο;Επισκέπτεστε το σχολείο μαζί και του μιλάτε για τι να περιμένει;Του αγοράζετε όλα τα σχολικά για να ενθουσιαστεί;Του λέτε πόσο διασκεδαστικό θα είναι;Του διαβάζετε βιβλία για το σχολείο;0;Η προετοιμασία με επισκέψεις και ειλικρινείς συζητήσεις μειώνει το άγχος του αχωρισμού και βοηθά το παιδί να προσαρμοστεί ομαλά στο νέο περιβάλλον.
